page_type,slug,page_name,url,proposed_reviewer_slug,proposed_reviewer,confirmed_reviewer_slug (edit if different),date_read (YYYY-MM-DD),doctor_initials
concern,acne,Acne,https://kaiteki.my/concerns/acne,dr-jessie-lim,Dr Jessie Lim Jia Min,dr-jessie-lim,,
concern,pigmentation,Pigmentation,https://kaiteki.my/concerns/pigmentation,dr-chew-yuhhui,Dr Chew Yuhhui,dr-chew-yuhhui,,
concern,enlarged-pores,Enlarged Pores,https://kaiteki.my/concerns/enlarged-pores,dr-yeong-bin,Dr Yeong Bin,dr-yeong-bin,,
concern,fine-lines-wrinkles,Fine Lines & Wrinkles,https://kaiteki.my/concerns/fine-lines-wrinkles,dr-william-yap,Dr William Yap,dr-william-yap,,
concern,dark-eye-circles,Dark Eye Circles,https://kaiteki.my/concerns/dark-eye-circles,dr-lim-xiao-chien,Dr Lim Xiao Chien,dr-lim-xiao-chien,,
concern,face-contouring,Face Contouring,https://kaiteki.my/concerns/face-contouring,dr-jeremy-low,Dr Jeremy Low Jia Wei,dr-jeremy-low,,
concern,face-lifting,Face Lifting,https://kaiteki.my/concerns/face-lifting,dr-chang-chee-seong,Dr Chang Chee Seong,dr-chang-chee-seong,,
concern,aging,Aging,https://kaiteki.my/concerns/aging,dr-jacqueline-tan,Dr Jacqueline Tan,dr-jacqueline-tan,,
concern,body-slimming,Body Slimming,https://kaiteki.my/concerns/body-slimming,dr-joaan-kong,Dr Joaan Kong,dr-joaan-kong,,
concern,hair-loss,Hair Loss,https://kaiteki.my/concerns/hair-loss,dr-tim-chua,Dr Tim Chua,dr-tim-chua,,
concern,tattoo-removal,Tattoo Removal,https://kaiteki.my/concerns/tattoo-removal,dr-calvin-tan,Dr Calvin Tan,dr-calvin-tan,,
concern,birthmark,Birthmark,https://kaiteki.my/concerns/birthmark,dr-lucas-chew,Dr Lucas Chew,dr-lucas-chew,,
concern,vascular-lesions,Vascular Lesions,https://kaiteki.my/concerns/vascular-lesions,dr-jade,Dr Jade,dr-jade,,
concern,excessive-sweating,Excessive Sweating,https://kaiteki.my/concerns/excessive-sweating,dr-teresa-tan,Dr Teresa Tan,dr-teresa-tan,,
treatment,pico-laser,Pico Laser,https://kaiteki.my/treatments/pico-laser,dr-chew-yuhhui,Dr Chew Yuhhui,dr-chew-yuhhui,,
treatment,hifu,HIFU,https://kaiteki.my/treatments/hifu,dr-yvonne-chuah,Dr Yvonne Chuah,dr-yvonne-chuah,,
treatment,ultherapy,Ultherapy,https://kaiteki.my/treatments/ultherapy,dr-jamie-gan,Dr Jamie Gan Ee Vienn,dr-jamie-gan,,
treatment,fotona-4d,Fotona Laser,https://kaiteki.my/treatments/fotona-4d,dr-jen-meng,Dr Jen Meng,dr-jen-meng,,
treatment,radiofrequency,Radiofrequency,https://kaiteki.my/treatments/radiofrequency,dr-chloe-wan,Dr Chloe Wan Poh Yee,dr-chloe-wan,,
treatment,microneedling,RF Microneedling,https://kaiteki.my/treatments/microneedling,dr-say-wei-xian,Dr Say Wei Xian,dr-say-wei-xian,,
treatment,fat-freezing,Fat Freezing,https://kaiteki.my/treatments/fat-freezing,dr-jessie-lim,Dr Jessie Lim Jia Min,dr-jessie-lim,,
treatment,skin-booster,Skin Booster,https://kaiteki.my/treatments/skin-booster,dr-chew-yuhhui,Dr Chew Yuhhui,dr-chew-yuhhui,,
treatment,botulinum-toxin,Botulinum Toxin,https://kaiteki.my/treatments/botulinum-toxin,dr-jeremy-low,Dr Jeremy Low Jia Wei,dr-jeremy-low,,
treatment,bio-stimulator,Bio-stimulator,https://kaiteki.my/treatments/bio-stimulator,dr-yeong-bin,Dr Yeong Bin,dr-yeong-bin,,
treatment,exosome-therapy,Exosome Therapy,https://kaiteki.my/treatments/exosome-therapy,dr-william-yap,Dr William Yap,dr-william-yap,,
treatment,double-eyelid,Double Eyelid,https://kaiteki.my/treatments/double-eyelid,dr-lim-xiao-chien,Dr Lim Xiao Chien,dr-lim-xiao-chien,,
treatment,vascular-pigment-laser,Vascular / Pigment Laser,https://kaiteki.my/treatments/vascular-pigment-laser,dr-jeremy-low,Dr Jeremy Low Jia Wei,dr-jeremy-low,,
treatment,resurfacing-laser,Resurfacing Laser,https://kaiteki.my/treatments/resurfacing-laser,dr-chang-chee-seong,Dr Chang Chee Seong,dr-chang-chee-seong,,
treatment,microwave-contouring,Microwave Contouring,https://kaiteki.my/treatments/microwave-contouring,dr-jacqueline-tan,Dr Jacqueline Tan,dr-jacqueline-tan,,
treatment,muscle-stimulation,Muscle Stimulation,https://kaiteki.my/treatments/muscle-stimulation,dr-joaan-kong,Dr Joaan Kong,dr-joaan-kong,,
treatment,dermal-fillers,Dermal Fillers,https://kaiteki.my/treatments/dermal-fillers,dr-tim-chua,Dr Tim Chua,dr-tim-chua,,
treatment,facial-treatments,Facial Treatments,https://kaiteki.my/treatments/facial-treatments,dr-calvin-tan,Dr Calvin Tan,dr-calvin-tan,,
treatment,laser-hair-removal,Laser Hair Removal,https://kaiteki.my/treatments/laser-hair-removal,dr-lucas-chew,Dr Lucas Chew,dr-lucas-chew,,
technology,picosure,Picosure,https://kaiteki.my/technology/picosure,dr-jade,Dr Jade,dr-jade,,
technology,fotona-pqx,Fotona PQX (StarWalker),https://kaiteki.my/technology/fotona-pqx,dr-teresa-tan,Dr Teresa Tan,dr-teresa-tan,,
technology,fotona-sp-dynamis,Fotona SP Dynamis / TimeWalker,https://kaiteki.my/technology/fotona-sp-dynamis,dr-chin-wei-horng,Dr Chin Wei Horng,dr-chin-wei-horng,,
technology,dermav,DermaV,https://kaiteki.my/technology/dermav,dr-yvonne-chuah,Dr Yvonne Chuah,dr-yvonne-chuah,,
technology,pro-yellow,Pro Yellow (Quadrostar 577nm),https://kaiteki.my/technology/pro-yellow,dr-jamie-gan,Dr Jamie Gan Ee Vienn,dr-jamie-gan,,
technology,m22-ipl,M22 IPL,https://kaiteki.my/technology/m22-ipl,dr-jen-meng,Dr Jen Meng,dr-jen-meng,,
technology,fractional-co2,Fractional CO2,https://kaiteki.my/technology/fractional-co2,dr-chloe-wan,Dr Chloe Wan Poh Yee,dr-chloe-wan,,
technology,ultracel-q,Ultracel Q,https://kaiteki.my/technology/ultracel-q,dr-say-wei-xian,Dr Say Wei Xian,dr-say-wei-xian,,
technology,lifthera,Lifthera,https://kaiteki.my/technology/lifthera,dr-jessie-lim,Dr Jessie Lim Jia Min,dr-jessie-lim,,
