slug,device / injectable,Mont Kiara,Cheras,Bukit Jalil,Four Seasons KL,Petaling Jaya (SS2),Kota Kemuning,Southkey JB,Pelangi JB,Kota Kinabalu,"notes (e.g. rotating unit, shared between branches)"
picosure,Picosure,,,,,,,,,,
fotona-pqx,Fotona PQX (StarWalker),,,,,,,,,,
fotona-sp-dynamis,Fotona SP Dynamis / TimeWalker,,,,,,,,,,
dermav,DermaV,,,,,,,,,,
pro-yellow,Pro Yellow (Quadrostar 577nm),,,,,,,,,,
m22-ipl,M22 IPL,,,,,,,,,,
fractional-co2,Fractional CO2,,,,,,,,,,
ultracel-q,Ultracel Q,,,,,,,,,,
lifthera,Lifthera,,,,,,,,,,
ultherapy-system,Ultherapy System,,,,,,,,,,
xerf,XERF,,,,,,,,,,
sylfirm-x,Sylfirm X,,,,,,,,,,
morpheus8,Morpheus8,,,,,,,,,,
potenza,Potenza,,,,,,,,,,
btl-exilis,BTL Exilis,,,,,,,,,,
wonderface,Wonderface,,,,,,,,,,
coolsculpting,CoolSculpting,,,,,,,,,,
cooltech,Cooltech,,,,,,,,,,
onda-coolwaves,Onda Coolwaves,,,,,,,,,,
schwarzy,Schwarzy (Em-Fit),,,,,,,,,,
profhilo,Profhilo,,,,,,,,,,
rejuran,Rejuran,,,,,,,,,,
plinest,Plinest/Newest,,,,,,,,,,
juvelook,Juvelook,,,,,,,,,,
hydrodeluxe,Hydrodeluxe,,,,,,,,,,
botox,Botox,,,,,,,,,,
sculptra,Sculptra,,,,,,,,,,
ellanse,Ellanse,,,,,,,,,,
radiesse,Radiesse,,,,,,,,,,
juvederm,Juvederm,,,,,,,,,,
restylane,Restylane,,,,,,,,,,
belotero,Belotero,,,,,,,,,,
art-filler,Art Filler,,,,,,,,,,
hydrafacial,Hydrafacial,,,,,,,,,,
silkpeel,Silkpeel,,,,,,,,,,
alma,Alma (IPL + RF),,,,,,,,,,
